state,latitude,mortality,ocean,longitude
Alabama,33,219,yes,87
Arizona,34.5,160,no,112
Arkansas,35,170,no,92.5
California,37.5,182,yes,119.5
Colorado,39,149,no,105.5
Connecticut,41.8,159,yes,72.8
Delaware,39,200,yes,75.5
"Wash,D.C.",39,177,no,77
Florida,28,197,yes,82
Georgia,33,214,yes,83.5
Idaho,44.5,116,no,114
Illinois,40,124,no,89.5
Indiana,40.2,128,no,86.2
Iowa,42.2,128,no,93.8
Kansas,38.5,166,no,98.5
Kentucky,37.8,147,no,85
Louisiana,31.2,190,yes,91.8
Maine,45.2,117,yes,69
Maryland,39,162,yes,76.5
Massachusetts,42.2,143,yes,71.8
Michigan,43.5,117,no,84.5
Minnesota,46,116,no,94.5
Mississippi,32.8,207,yes,90
Missouri,38.5,131,no,92
Montana,47,109,no,110.5
Nebraska,41.5,122,no,99.5
Nevada,39,191,no,117
NewHampshire,43.8,129,yes,71.5
NewJersey,40.2,159,yes,74.5
NewMexico,35,141,no,106
MewYork,43,152,yes,75.5
NorthCarolina,35.5,199,yes,79.5
NorthDakota,47.5,115,no,100.5
Ohio,40.2,131,no,82.8
Oklahoma,35.5,182,no,97.2
Oregon,44,136,yes,120.5
Pennsylvania,40.8,132,no,77.8
RhodeIsland,41.8,137,yes,71.5
SouthCarolina,33.8,178,yes,81
SouthDakota,44.8,86,no,100
Tennessee,36,186,no,86.2
Texas,31.5,229,yes,98
Utah,39.5,142,no,111.5
Vermont,44,153,yes,72.5
Virginia,37.5,166,yes,78.5
Washington,47.5,117,yes,121
WestVirginia,38.8,136,no,80.8
Wisconsin,44.5,110,no,90.2
Wyoming,43,134,no,107.5
