year,births
1940,2559
1941,2703
1942,2989
1943,3104
1944,2939
1945,2858
1946,3411
1947,3817
1948,3637
1949,3649
1950,3632
1951,3823
1952,3913
1953,3965
1954,4078
1955,4097
1956,4218
1957,4300
1958,4255
1959,4245
1960,4258
1961,4268
1962,4167
1963,4098
1964,4027
1965,3760
1966,3606
1967,3521
1968,3502
1969,3606
1970,3731
1971,3556
1972,3258
1973,3137
1974,3160
1975,3144
1976,3168
1977,3327
1978,3333
1979,3494
1980,3612
1981,3629
1982,3681
1983,3639
1984,3669
1985,3761
1986,3757
1987,3809
1988,3910
1989,4041
1990,4158
1991,4111
1992,4065
1993,4000
1994,3979
