"Date","Season","TimeOfDay","sex","race","age","AgeGrp","ethnicity","Frisk_Searched"
"12/8/19","Winter","EarlyMorning","Female","White",51,"Adult","Unknown","Unknown"
"12/8/19","Winter","EarlyMorning","Female","White",24,"Adult","Not of Hispanic Origin","Unknown"
"12/8/19","Winter","EarlyMorning","Male","Black",30,"Adult","Not of Hispanic Origin","Unknown"
"12/8/19","Winter","Nighttime","Male","Black",17,"Minor","Unknown","Yes"
"12/8/19","Winter","Nighttime","Male","Black",17,"Minor","Hispanic Origin","Yes"
"12/8/19","Winter","Nighttime","Male","Black",15,"Minor","Hispanic Origin","Yes"
"12/8/19","Winter","Nighttime","Male","Black",37,"Adult","NULL","Yes"
"12/9/19","Winter","EarlyMorning","Male","Black",28,"Adult","Unknown","No"
"12/9/19","Winter","EarlyMorning","Female","Black",24,"Adult","Unknown","No"
"12/9/19","Winter","EarlyMorning","Female","Unknown",NA,"Unknown","Unknown","No"
"12/9/19","Winter","EarlyMorning","Male","Black",33,"Adult","Not of Hispanic Origin","Yes"
"12/9/19","Winter","DayTime","Female","White",36,"Adult","Not of Hispanic Origin","Unknown"
"12/9/19","Winter","DayTime","Female","White",36,"Adult","Not of Hispanic Origin","Unknown"
"12/9/19","Winter","DayTime","Male","Black",33,"Adult","Not of Hispanic Origin","No"
"12/9/19","Winter","DayTime","Female","Black",29,"Adult","Not of Hispanic Origin","No"
"12/9/19","Winter","DayTime","Male","White",54,"Adult","Not of Hispanic Origin","No"
"12/9/19","Winter","DayTime","Male","White",26,"Adult","NULL","No"
"12/9/19","Winter","DayTime","Male","Black",34,"Adult","Not of Hispanic Origin","No"
"12/9/19","Winter","DayTime","Male","Black",17,"Minor","Not of Hispanic Origin","Yes"
"12/9/19","Winter","DayTime","Male","Black",18,"Minor","Not of Hispanic Origin","Yes"
"12/9/19","Winter","DayTime","Female","White",20,"Adult","Not of Hispanic Origin","Yes"
"12/9/19","Winter","Nighttime","Male","Black",21,"Adult","Not of Hispanic Origin","No"
"9/27/19","Fall","DayTime","Male","White",21,"Adult","Unknown","Yes"
"9/27/19","Fall","DayTime","Male","Black",19,"Adult","Unknown","Unknown"
"9/27/19","Fall","DayTime","Male","Black",25,"Adult","Not of Hispanic Origin","Unknown"
"9/29/19","Fall","DayTime","Male","Black",20,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","DayTime","Male","Black",24,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","DayTime","Male","Black",23,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","DayTime","Male","Black",34,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","DayTime","Male","Black",23,"Adult","Hispanic Origin","No"
"9/29/19","Fall","DayTime","Male","Black",16,"Minor","Not of Hispanic Origin","No"
"9/29/19","Fall","DayTime","Male","Black",15,"Minor","NULL","No"
"9/29/19","Fall","DayTime","Male","Black",30,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","DayTime","Male","White",25,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","DayTime","Male","Black",25,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","DayTime","Male","Black",19,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","DayTime","Male","Black",18,"Minor","Not of Hispanic Origin","No"
"9/29/19","Fall","DayTime","Male","Black",15,"Minor","Not of Hispanic Origin","No"
"9/29/19","Fall","DayTime","Male","Black",31,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","DayTime","Male","Black",19,"Adult","Hispanic Origin","No"
"9/29/19","Fall","DayTime","Male","White",36,"Adult","Hispanic Origin","No"
"9/29/19","Fall","DayTime","Male","Black",30,"Adult","Not of Hispanic Origin","No"
"9/29/19","Fall","DayTime","Male","White",34,"Adult","Unknown","No"
"9/29/19","Fall","DayTime","Female","White",33,"Adult","NULL","No"
"9/29/19","Fall","DayTime","Male","Black",50,"Adult","Not of Hispanic Origin","No"
