IQ,wisdom_teeth
107,No
98,Yes
87,No
121,Yes
97,No
106,Yes
105,No
122,No
92,Yes
99,Yes
113,No
118,No
101,Yes
130,No
111,No
108,Yes
114,No
99,No
123,No
109,Yes
106,No
101,Yes
109,No
114,No
111,No
118,No
124,No
93,No
109,Yes
111,No
102,No
109,Yes
91,No
125,No
110,Yes
111,Yes
100,No
110,Yes
85,Yes
111,Yes
134,No
101,Yes
119,No
106,Yes
119,No
104,Yes
108,No
87,Yes
121,Yes
114,Yes
93,No
107,No
103,Yes
106,Yes
99,Yes
104,Yes
97,No
88,Yes
115,No
88,Yes
109,Yes
112,Yes
96,No
98,No
102,Yes
103,Yes
101,Yes
103,Yes
92,Yes
108,No
100,Yes
96,No
115,Yes
98,No
104,Yes
124,Yes
118,No
115,Yes
117,Yes
111,Yes
97,Yes
105,Yes
122,Yes
114,Yes
110,No
104,Yes
108,No
112,Yes
83,No
122,Yes
105,No
123,Yes
97,Yes
111,Yes
106,Yes
108,Yes
96,No
94,No
121,No
106,No
93,Yes
100,Yes
100,Yes
93,No
95,No
102,No
119,No
114,Yes
93,Yes
88,Yes
95,Yes
118,Yes
120,No
103,Yes
101,Yes
105,No
95,No
105,No
98,No
100,Yes
126,Yes
118,No
85,Yes
90,Yes
111,No
99,Yes
119,Yes
127,No
80,Yes
107,Yes
101,No
127,Yes
100,Yes
100,Yes
96,No
120,Yes
114,No
120,Yes
124,No
113,Yes
91,Yes
127,Yes
118,Yes
99,Yes
109,Yes
87,No
108,No
114,Yes
115,Yes
115,No
108,Yes
134,No
118,No
104,Yes
102,Yes
100,Yes
109,Yes
106,Yes
98,Yes
101,No
93,No
93,No
88,No
111,No
125,Yes
109,Yes
106,Yes
98,Yes
118,Yes
129,Yes
110,Yes
114,No
109,No
115,Yes
112,Yes
112,Yes
94,No
105,Yes
112,Yes
99,Yes
114,Yes
104,Yes
105,Yes
114,No
104,No
103,Yes
123,Yes
120,Yes
105,Yes
105,No
114,No
99,Yes
110,No
111,Yes
94,Yes
117,No
95,Yes
105,No
108,No
119,Yes
96,Yes
123,Yes
98,Yes
109,Yes
114,No
109,Yes
109,Yes
117,Yes
109,Yes
116,Yes
109,No
107,Yes
91,Yes
113,Yes
95,No
103,No
106,No
108,Yes
115,Yes
97,Yes
96,Yes
93,No
101,Yes
115,Yes
82,Yes
113,No
114,Yes
97,No
110,No
122,Yes
99,Yes
105,No
116,Yes
114,Yes
97,No
116,Yes
116,No
124,Yes
117,No
105,No
100,No
109,Yes
105,No
107,No
109,Yes
112,No
122,Yes
112,No
99,No
100,Yes
100,No
108,No
108,Yes
100,Yes
111,Yes
102,Yes
107,Yes
102,Yes
104,Yes
104,Yes
123,Yes
100,Yes
93,Yes
106,Yes
106,No
97,Yes
100,No
89,Yes
100,Yes
112,Yes
103,Yes
111,Yes
108,No
117,No
101,No
112,No
105,Yes
103,No
113,Yes
113,Yes
113,No
104,Yes
93,No
115,Yes
131,Yes
103,Yes
107,No
113,Yes
103,Yes
105,Yes
108,Yes
89,Yes
121,Yes
99,No
104,Yes
102,Yes
88,No
106,Yes
106,No
99,No
