"sample_size","method","success_rate"
3,"normal_success_rate",0.4196
3,"t_success_rate",0.4348
4,"normal_success_rate",0.5046
4,"t_success_rate",0.5218
5,"normal_success_rate",0.5926
5,"t_success_rate",0.5928
6,"normal_success_rate",0.6534
6,"t_success_rate",0.6604
7,"normal_success_rate",0.7108
7,"t_success_rate",0.7174
8,"normal_success_rate",0.7564
8,"t_success_rate",0.7564
9,"normal_success_rate",0.8064
9,"t_success_rate",0.8134
10,"normal_success_rate",0.8326
10,"t_success_rate",0.8372
11,"normal_success_rate",0.8568
11,"t_success_rate",0.857
12,"normal_success_rate",0.8864
12,"t_success_rate",0.889
13,"normal_success_rate",0.9076
13,"t_success_rate",0.9128
14,"normal_success_rate",0.9184
14,"t_success_rate",0.9202
15,"normal_success_rate",0.9232
15,"t_success_rate",0.9246
16,"normal_success_rate",0.9246
16,"t_success_rate",0.9368
17,"normal_success_rate",0.9146
17,"t_success_rate",0.9376
18,"normal_success_rate",0.889
18,"t_success_rate",0.915
19,"normal_success_rate",0.8758
19,"t_success_rate",0.896
20,"normal_success_rate",0.8672
20,"t_success_rate",0.8802
21,"normal_success_rate",0.885
21,"t_success_rate",0.8888
22,"normal_success_rate",0.8952
22,"t_success_rate",0.8964
23,"normal_success_rate",0.9102
23,"t_success_rate",0.9106
24,"normal_success_rate",0.9122
24,"t_success_rate",0.9156
25,"normal_success_rate",0.933
25,"t_success_rate",0.9354
26,"normal_success_rate",0.9302
26,"t_success_rate",0.9328
27,"normal_success_rate",0.9394
27,"t_success_rate",0.9428
28,"normal_success_rate",0.9222
28,"t_success_rate",0.9314
29,"normal_success_rate",0.9082
29,"t_success_rate",0.9196
30,"normal_success_rate",0.9038
30,"t_success_rate",0.9094
31,"normal_success_rate",0.914
31,"t_success_rate",0.9166
32,"normal_success_rate",0.9176
32,"t_success_rate",0.9198
33,"normal_success_rate",0.9226
33,"t_success_rate",0.9246
34,"normal_success_rate",0.933
34,"t_success_rate",0.9334
35,"normal_success_rate",0.9412
35,"t_success_rate",0.9426
36,"normal_success_rate",0.9346
36,"t_success_rate",0.9386
37,"normal_success_rate",0.9286
37,"t_success_rate",0.9336
38,"normal_success_rate",0.9268
38,"t_success_rate",0.9306
39,"normal_success_rate",0.9168
39,"t_success_rate",0.9204
40,"normal_success_rate",0.9234
40,"t_success_rate",0.9248
41,"normal_success_rate",0.9236
41,"t_success_rate",0.9248
42,"normal_success_rate",0.9256
42,"t_success_rate",0.9278
43,"normal_success_rate",0.9292
43,"t_success_rate",0.9296
44,"normal_success_rate",0.9358
44,"t_success_rate",0.936
45,"normal_success_rate",0.9412
45,"t_success_rate",0.943
46,"normal_success_rate",0.935
46,"t_success_rate",0.9358
47,"normal_success_rate",0.9368
47,"t_success_rate",0.9382
48,"normal_success_rate",0.9276
48,"t_success_rate",0.929
49,"normal_success_rate",0.9274
49,"t_success_rate",0.928
50,"normal_success_rate",0.9268
50,"t_success_rate",0.9276
51,"normal_success_rate",0.9344
51,"t_success_rate",0.935
52,"normal_success_rate",0.9444
52,"t_success_rate",0.9446
53,"normal_success_rate",0.9396
53,"t_success_rate",0.94
54,"normal_success_rate",0.933
54,"t_success_rate",0.934
55,"normal_success_rate",0.938
55,"t_success_rate",0.9386
56,"normal_success_rate",0.93
56,"t_success_rate",0.9312
57,"normal_success_rate",0.9304
57,"t_success_rate",0.9308
58,"normal_success_rate",0.9328
58,"t_success_rate",0.9332
59,"normal_success_rate",0.9318
59,"t_success_rate",0.9322
60,"normal_success_rate",0.9338
60,"t_success_rate",0.9338
61,"normal_success_rate",0.9444
61,"t_success_rate",0.9444
62,"normal_success_rate",0.9422
62,"t_success_rate",0.9422
63,"normal_success_rate",0.9446
63,"t_success_rate",0.9444
64,"normal_success_rate",0.9356
64,"t_success_rate",0.9356
65,"normal_success_rate",0.9398
65,"t_success_rate",0.9392
66,"normal_success_rate",0.9324
66,"t_success_rate",0.932
67,"normal_success_rate",0.9376
67,"t_success_rate",0.9376
68,"normal_success_rate",0.9354
68,"t_success_rate",0.9354
69,"normal_success_rate",0.9458
69,"t_success_rate",0.9452
70,"normal_success_rate",0.9442
70,"t_success_rate",0.944
71,"normal_success_rate",0.9422
71,"t_success_rate",0.9416
72,"normal_success_rate",0.9318
72,"t_success_rate",0.9314
73,"normal_success_rate",0.94
73,"t_success_rate",0.9394
74,"normal_success_rate",0.9356
74,"t_success_rate",0.935
75,"normal_success_rate",0.9378
75,"t_success_rate",0.9368
76,"normal_success_rate",0.9438
76,"t_success_rate",0.9434
77,"normal_success_rate",0.941
77,"t_success_rate",0.9406
78,"normal_success_rate",0.9458
78,"t_success_rate",0.9448
79,"normal_success_rate",0.9446
79,"t_success_rate",0.9424
80,"normal_success_rate",0.9406
80,"t_success_rate",0.939
81,"normal_success_rate",0.9398
81,"t_success_rate",0.9382
82,"normal_success_rate",0.9416
82,"t_success_rate",0.941
83,"normal_success_rate",0.9384
83,"t_success_rate",0.9376
84,"normal_success_rate",0.9402
84,"t_success_rate",0.9388
85,"normal_success_rate",0.9414
85,"t_success_rate",0.9404
86,"normal_success_rate",0.9412
86,"t_success_rate",0.9402
87,"normal_success_rate",0.9448
87,"t_success_rate",0.9436
88,"normal_success_rate",0.9444
88,"t_success_rate",0.9428
89,"normal_success_rate",0.9458
89,"t_success_rate",0.9446
90,"normal_success_rate",0.9412
90,"t_success_rate",0.9396
91,"normal_success_rate",0.9396
91,"t_success_rate",0.938
92,"normal_success_rate",0.9392
92,"t_success_rate",0.9386
93,"normal_success_rate",0.9436
93,"t_success_rate",0.942
94,"normal_success_rate",0.9424
94,"t_success_rate",0.9416
95,"normal_success_rate",0.9482
95,"t_success_rate",0.9466
96,"normal_success_rate",0.9452
96,"t_success_rate",0.9426
97,"normal_success_rate",0.9416
97,"t_success_rate",0.94
98,"normal_success_rate",0.9468
98,"t_success_rate",0.9448
99,"normal_success_rate",0.9468
99,"t_success_rate",0.9456
100,"normal_success_rate",0.9452
100,"t_success_rate",0.9438
